Time,TEMP
   0.053180000,  29.371429443
   0.133530052,  29.371429443
   0.213880104,  29.371429443
   0.294230156,  29.371429443
   0.374580208,  29.352380753
   0.454930260,  29.371429443
   0.535280312,  29.333333969
   0.615630364,  29.390476227
   0.695980416,  29.333333969
   0.776330468,  29.333333969
   0.856680520,  29.409523010
   0.937030572,  29.371429443
   1.017380624,  29.371429443
   1.097730676,  29.390476227
   1.178080728,  29.333333969
   1.258430780,  29.352380753
   1.338780832,  29.390476227
   1.419130884,  29.371429443
   1.499480936,  29.390476227
   1.579830988,  29.409523010
   1.660181040,  29.428571701
   1.740531092,  29.428571701
   1.820881144,  29.390476227
   1.901231196,  29.409523010
   1.981581248,  29.428571701
   2.061931300,  29.447618484
   2.142281352,  29.428571701
   2.222631404,  29.447618484
   2.302981456,  29.466667175
   2.383331508,  29.428571701
   2.463681560,  29.485713959
   2.544031612,  29.428571701
   2.624381664,  29.485713959
   2.704731716,  29.447618484
   2.785081768,  29.523809433
   2.865431820,  29.504762650
   2.945781872,  29.523809433
   3.026131924,  29.504762650
   3.106481976,  29.504762650
   3.186832028,  29.466667175
   3.267182080,  29.428571701
   3.347532132,  29.485713959
   3.427882184,  29.485713959
   3.508232236,  29.504762650
   3.588582288,  29.504762650
   3.668932340,  29.428571701
   3.749282392,  29.428571701
   3.829632444,  29.390476227
   3.909982496,  29.409523010
   3.990332548,  29.447618484
   4.070682600,  29.485713959
   4.151046244,  29.428571701
   4.231409889,  29.504762650
   4.311773533,  29.428571701
   4.392137178,  29.428571701
   4.472500822,  29.390476227
   4.552864467,  29.390476227
   4.633228111,  29.409523010
   4.713591756,  29.428571701
   4.793955400,  29.390476227
   4.874319045,  29.428571701
   4.954682689,  29.466667175
   5.035046334,  29.409523010
   5.115409978,  29.447618484
   5.195773623,  29.447618484
   5.276137267,  29.485713959
   5.356500912,  29.504762650
   5.436864556,  29.428571701
   5.517228201,  29.523809433
   5.597591846,  29.485713959
   5.677955490,  29.485713959
   5.758319134,  29.504762650
   5.838682779,  29.504762650
   5.919046423,  29.523809433
   5.999410068,  29.523809433
   6.079773712,  29.485713959
   6.160137357,  29.523809433
   6.240501002,  29.523809433
   6.320864646,  29.485713959
   6.401228290,  29.485713959
   6.481591935,  29.485713959
   6.561955579,  29.504762650
   6.642319224,  29.447618484
   6.722682868,  29.428571701
   6.803046513,  29.428571701
